"Maréchal leclerc","Bourgmayer","46 12 28","5 13 15"
"4 sept ","champ de foire","46 12 26","5 13 44"
"A.Muscat","Maréchal leclerc","46 12 09","5 13 7"
"Alsace Lorraine","Rue de la paix","46 12 12","5 13 22"
"Belge","J.Curie","46 12 28","5 14 11"
"Brou","Charles Robin","46 12 19","5 13 44"
"E.Herriot","Maréchal leclerc","46 12 36","5 13 17"
"J.Curie","Frères Lumière","46 12 34","5 13 39"
"Robin","Sport","46 12 21","5 14 5"
"Rue Lycée","Victor Hugo","46 12 00","5 13 34"
"St Nicolas","Brou","46 12 07","5 13 54"
